panel_id,utility_id_eia,utility_name_eia,display_name,state,ownership_2024,eia_entity_type,residential_customers_2024,ultimate_parent_or_owner_2024,parent_country_or_level,ownership_history_note,ownership_source_url,selection_rule,pudl_source_url
DOM_NY_CECONY,4226,Consolidated Edison Co-NY Inc,Con Edison (CECONY),NY,DOM,Investor Owned,3064038,Consolidated Edison Inc.,United States,DOM throughout the proposed panel,https://investor.conedison.com/static-files/0b4e12b3-f43b-4398-a04b-3699537cabb5,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_NY_NIMO,13573,Niagara Mohawk Power Corp.,Niagara Mohawk (National Grid),NY,MTC,Investor Owned,1532294,National Grid plc,United Kingdom,MTC throughout the proposed panel,https://www.nationalgrid.com/document/152396/download,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_MA_NSTAR,54913,NSTAR Electric Company,NSTAR Electric (Eversource Massachusetts),MA,DOM,Investor Owned,1303076,Eversource Energy,United States,DOM throughout the proposed panel,https://investors.eversource.com/static-files/1526fda9-4ffa-4cfd-bbd7-c9c18f56d3fe,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_MA_MECO,11804,Massachusetts Electric Co,Massachusetts Electric (National Grid),MA,MTC,Investor Owned,1210113,National Grid plc,United Kingdom,MTC throughout the proposed panel,https://www.nationalgrid.com/document/152381/download,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_CT_CLP,4176,Connecticut Light & Power Co,Connecticut Light & Power (Eversource Connecticut),CT,DOM,Investor Owned,1174420,Eversource Energy,United States,DOM throughout the proposed panel,https://investors.eversource.com/static-files/1526fda9-4ffa-4cfd-bbd7-c9c18f56d3fe,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_NY_NYSEG,13511,New York State Elec & Gas Corp,NYSEG,NY,MTC,Investor Owned,792300,Avangrid / Iberdrola S.A.,Spain,MTC throughout the proposed panel,https://www.avangrid.com/aboutus/companyprofile,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_ME_CMP,3266,Central Maine Power Co,Central Maine Power,ME,MTC,Investor Owned,577955,Avangrid / Iberdrola S.A.,Spain,MTC throughout the proposed panel,https://www.avangrid.com/aboutus/companyprofile,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_NH_PSNH,15472,Public Service Co of NH,Public Service Company of New Hampshire,NH,DOM,Investor Owned,459907,Eversource Energy,United States,DOM throughout the proposed panel,https://www.eversource.com/residential/about/doing-business-with-us/affiliates/list-of-affiliates,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_RI_RIE,13214,The Narragansett Electric Co,Rhode Island Energy (legal entity: Narragansett Electric),RI,DOM,Investor Owned,451381,PPL Corporation,United States,MTC through 2021 under National Grid; acquired by PPL on 2022-05-25; code DOM from 2022 under an end-of-year ownership rule,https://investors.pplweb.com/2024-04-02-PPL-Corporation-subsidiary-Rhode-Island-Energy-receives-regulatory-approval-for-planned-spending-to-strengthen-network-safety%2C-reliability-and-resilience,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_NY_RGE,16183,Rochester Gas & Electric Corp,Rochester Gas & Electric,NY,MTC,Investor Owned,351481,Avangrid / Iberdrola S.A.,Spain,MTC throughout the proposed panel,https://www.avangrid.com/aboutus/companyprofile,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_CT_UI,19497,United Illuminating Co,United Illuminating,CT,MTC,Investor Owned,312291,Avangrid / Iberdrola S.A.,Spain,DOM through 2015; acquisition closed 2015-12-16; code MTC from 2016 under an end-of-year ownership rule,https://www.avangrid.com/aboutus/companyprofile,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_NY_CENTHUD,3249,Central Hudson Gas & Elec Corp,Central Hudson,NY,MTC,Investor Owned,270859,Fortis Inc.,Canada,Fortis acquired Central Hudson in 2013; code MTC for each project year under an end-of-year ownership rule,https://www.fortisinc.com/company/our-companies/index,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_VT_GMP,7601,Green Mountain Power Corp,Green Mountain Power,VT,MTC,Investor Owned,226675,Energir L.P.,Canada,MTC throughout the proposed panel,https://energir.com/en/about/the-company/who-we-are/our-subsidiaries,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_NY_ORU,14154,Orange & Rockland Utils Inc,Orange & Rockland Utilities,NY,DOM,Investor Owned,211011,Consolidated Edison Inc.,United States,DOM throughout the proposed panel,https://www.conedison.com/en/about-us/corporate-governance/corporate-leadership/michelle-oconnoll,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
