customer_class,year,ownership,coverage_rule,coverage_threshold_pct,published_price_count,included_utility_count,minority_coverage_count,excluded_minority_coverage_count,median_price_cents_kwh,minimum_price_cents_kwh,maximum_price_cents_kwh,included_panel_ids,excluded_panel_ids,status,calculation_note,source_data
residential,2013,MTC,all_published,,9,9,1,0,14.302326,11.675316,17.080882,DOM_RI_RIE;MTC_MA_MECO;MTC_ME_CMP;MTC_NH_LIBERTY;MTC_NY_CENTHUD;MTC_NY_NIMO;MTC_NY_NYSEG;MTC_NY_RGE;MTC_VT_GMP,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2013,DOM,all_published,,9,9,0,0,18.965452,14.39641,35.070974,DOM_CT_CLP;DOM_MA_FITCHBURG;DOM_MA_NSTAR;DOM_NH_PSNH;DOM_NH_UNITIL;DOM_NY_CECONY;DOM_NY_FISHERS;DOM_NY_ORU;MTC_CT_UI,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2013,COOP,all_published,,10,10,0,0,13.449055,5.035053,18.726674,COOP_CT_NORWICH;COOP_CT_WALLINGFORD;COOP_MA_CHICOPEE;COOP_MA_PEABODY;COOP_MA_READING;COOP_MA_TAUNTON;COOP_NH_NHEC;COOP_NY_FAIRPORT;COOP_VT_BURLINGTON;COOP_VT_VEC,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2014,MTC,all_published,,9,9,1,0,17.008075,13.009419,18.782612,DOM_RI_RIE;MTC_MA_MECO;MTC_ME_CMP;MTC_NH_LIBERTY;MTC_NY_CENTHUD;MTC_NY_NIMO;MTC_NY_NYSEG;MTC_NY_RGE;MTC_VT_GMP,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2014,DOM,all_published,,9,9,0,0,21.289688,16.749486,36.811312,DOM_CT_CLP;DOM_MA_FITCHBURG;DOM_MA_NSTAR;DOM_NH_PSNH;DOM_NH_UNITIL;DOM_NY_CECONY;DOM_NY_FISHERS;DOM_NY_ORU;MTC_CT_UI,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2014,COOP,all_published,,10,10,0,0,13.548062999999999,5.7143735,19.867917,COOP_CT_NORWICH;COOP_CT_WALLINGFORD;COOP_MA_CHICOPEE;COOP_MA_PEABODY;COOP_MA_READING;COOP_MA_TAUNTON;COOP_NH_NHEC;COOP_NY_FAIRPORT;COOP_VT_BURLINGTON;COOP_VT_VEC,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2015,MTC,all_published,,10,10,0,0,16.2820295,11.995675,20.498134,DOM_RI_RIE;MTC_MA_MECO;MTC_ME_CMP;MTC_ME_VERSANT;MTC_NH_LIBERTY;MTC_NY_CENTHUD;MTC_NY_NIMO;MTC_NY_NYSEG;MTC_NY_RGE;MTC_VT_GMP,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2015,DOM,all_published,,9,9,0,0,21.131141,18.386055,39.183863,DOM_CT_CLP;DOM_MA_FITCHBURG;DOM_MA_NSTAR;DOM_NH_PSNH;DOM_NH_UNITIL;DOM_NY_CECONY;DOM_NY_FISHERS;DOM_NY_ORU;MTC_CT_UI,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2015,COOP,all_published,,10,10,0,0,14.3127455,5.2338537,20.280126,COOP_CT_NORWICH;COOP_CT_WALLINGFORD;COOP_MA_CHICOPEE;COOP_MA_PEABODY;COOP_MA_READING;COOP_MA_TAUNTON;COOP_NH_NHEC;COOP_NY_FAIRPORT;COOP_VT_BURLINGTON;COOP_VT_VEC,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
residential,2016,MTC,all_published,,11,11,0,0,16.592674,11.497309,22.350445,DOM_RI_RIE;MTC_CT_UI;MTC_MA_MECO;MTC_ME_CMP;MTC_ME_VERSANT;MTC_NH_LIBERTY;MTC_NY_CENTHUD;MTC_NY_NIMO;MTC_NY_NYSEG;MTC_NY_RGE;MTC_VT_GMP,,Derived,Unweighted median and observed minimum-to-maximum range of EIA-published bundled prices; utilities are grouped by ownership in that year. Minority coverage means less than 50% of customers in the same class are bundled.,data/processed/utility_price_panel_2013_2024.csv
