panel_id,utility_id_eia,utility_name_eia,display_name,state,ownership_2024,eia_entity_type,residential_customers_2024,residential_sales_mwh_2024,ultimate_parent_or_owner_2024,parent_country_or_level,price_class_coverage_2013_2024,ownership_time_varies_2013_2024,ownership_history_note,selection_reason,claude_assignment,claude_audit,ownership_source_id,ownership_source_url,history_source_url,pudl_source_url
MTC_NY_NIMO,13573,Niagara Mohawk Power Corp.,Niagara Mohawk (National Grid),NY,MTC,Investor Owned,1532294,11833895,National Grid plc,United Kingdom,See rebuilt price panel,No,MTC throughout the proposed panel,Largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-NGRID-NIMO-2024,https://www.nationalgrid.com/document/152396/download,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_MA_MECO,11804,Massachusetts Electric Co,Massachusetts Electric (National Grid),MA,MTC,Investor Owned,1210113,7947938,National Grid plc,United Kingdom,See rebuilt price panel,No,MTC throughout the proposed panel,Second-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-NGRID-2024,https://www.nationalgrid.com/document/152381/download,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_NY_NYSEG,13511,New York State Elec & Gas Corp,NYSEG,NY,MTC,Investor Owned,792300,6919839,Avangrid / Iberdrola S.A.,Spain,See rebuilt price panel,No,MTC throughout the proposed panel,Third-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-AVANGRID-2024,https://www.avangrid.com/aboutus/companyprofile,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_ME_CMP,3266,Central Maine Power Co,Central Maine Power,ME,MTC,Investor Owned,577955,3862592,Avangrid / Iberdrola S.A.,Spain,See rebuilt price panel,No,MTC throughout the proposed panel,Fourth-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-AVANGRID-2024,https://www.avangrid.com/aboutus/companyprofile,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_NY_RGE,16183,Rochester Gas & Electric Corp,Rochester Gas & Electric,NY,MTC,Investor Owned,351481,2842349,Avangrid / Iberdrola S.A.,Spain,See rebuilt price panel,No,MTC throughout the proposed panel,Fifth-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-AVANGRID-RGE-2024,https://www.avangrid.com/aboutus/companyprofile,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_CT_UI,19497,United Illuminating Co,United Illuminating,CT,MTC,Investor Owned,312291,2101455,Avangrid / Iberdrola S.A.,Spain,See rebuilt price panel,Yes,DOM through 2015; acquisition closed 2015-12-16; code MTC from 2016 under an end-of-year ownership rule,Sixth-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches 2024 but cannot be applied unchanged to 2013-2015,MTC-AVANGRID-2024,https://www.avangrid.com/aboutus/companyprofile,https://www.sec.gov/Archives/edgar/data/1634997/000119312515407879/d105528d8k.htm,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_NY_CENTHUD,3249,Central Hudson Gas & Elec Corp,Central Hudson,NY,MTC,Investor Owned,270859,2167787,Fortis Inc.,Canada,See rebuilt price panel,No,Fortis acquired Central Hudson in 2013; code MTC for each project year under an end-of-year ownership rule,Seventh-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-FORTIS-2024,https://www.fortisinc.com/company/our-companies/index,https://www.fortisinc.com/company/about-fortis,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_VT_GMP,7601,Green Mountain Power Corp,Green Mountain Power,VT,MTC,Investor Owned,226675,1594099,Energir L.P.,Canada,See rebuilt price panel,No,MTC throughout the proposed panel,Eighth-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-ENERGIR-2024,https://energir.com/en/about/the-company/who-we-are/our-subsidiaries,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_ME_VERSANT,1179,Versant Power,Versant Power,ME,MTC,Investor Owned,137906,832115,ENMAX Corp.,Canada,See rebuilt price panel,No,Foreign-parent category is MTC throughout; the Canadian parent changed from Emera to ENMAX in 2020,Ninth-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-ENMAX-2024,https://www.versantpower.com/about/news-press-releases/blog-details/versant-power-to-welcome-new-president-in-2026,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_NH_LIBERTY,26510,Liberty Utilities (Granite State Electri,Liberty Utilities (Granite State Electric),NH,MTC,Investor Owned,39667,304727,Algonquin Power & Utilities Corp.,Canada,See rebuilt price panel,No,MTC throughout the proposed panel,Tenth-largest 2024 MTC utility in the regional PUDL roster,MTC,Matches independently verified 2024 classification,MTC-AQN-2024,https://libertyutilities.com/who-we-are.html,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_NY_CECONY,4226,Consolidated Edison Co-NY Inc,Con Edison (CECONY),NY,DOM,Investor Owned,3064038,13643968,Consolidated Edison Inc.,United States,See rebuilt price panel,No,DOM throughout the proposed panel,Largest 2024 DOM utility in the regional PUDL roster,DOM,Matches independently verified 2024 classification,DOM-CONED-2024,https://investor.conedison.com/static-files/0b4e12b3-f43b-4398-a04b-3699537cabb5,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_MA_NSTAR,54913,NSTAR Electric Company,NSTAR Electric (Eversource Massachusetts),MA,DOM,Investor Owned,1303076,7873785,Eversource Energy,United States,See rebuilt price panel,No,DOM throughout the proposed panel,Second-largest 2024 DOM utility in the regional PUDL roster,DOM,Matches independently verified 2024 classification,DOM-EVERSOURCE-2024,https://investors.eversource.com/static-files/1526fda9-4ffa-4cfd-bbd7-c9c18f56d3fe,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_CT_CLP,4176,Connecticut Light & Power Co,Connecticut Light & Power (Eversource Connecticut),CT,DOM,Investor Owned,1174420,9853627,Eversource Energy,United States,See rebuilt price panel,No,DOM throughout the proposed panel,Third-largest 2024 DOM utility in the regional PUDL roster,DOM,Matches independently verified 2024 classification,DOM-EVERSOURCE-2024,https://investors.eversource.com/static-files/1526fda9-4ffa-4cfd-bbd7-c9c18f56d3fe,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
