source_id,utility,years,document,page_or_tariff_leaf,official_source_url,audit_note
CE-2020,Con Edison,2020,sc-202002.pdf,PDF p. 2; tariff leaf 388,https://www.coned.com/en/rates-tariffs/rates/historical,SC 1 Rate I; effective 2020-02-01.
CE-2021,Con Edison,2021,sc-202101.pdf,PDF p. 517; tariff leaf 388,https://www.coned.com/en/rates-tariffs/rates/historical,SC 1 Rate I; effective 2021-01-01.
CE-2022,Con Edison,2022,sc-202201.pdf,PDF p. 2; tariff leaf 388,https://www.coned.com/en/rates-tariffs/rates/historical,SC 1 Rate I; effective 2022-01-01.
CE-2023,Con Edison,2023,sc-202308.pdf,PDF p. 2; tariff leaf 388,https://www.coned.com/en/rates-tariffs/rates/historical,SC 1 Rate I; effective 2023-08-01.
CE-2024,Con Edison,2024,sc-202401.pdf,PDF p. 2; tariff leaf 388,https://www.coned.com/en/rates-tariffs/rates/historical,SC 1 Rate I; winter/all-kWh rate at year-end; effective 2024-02-04.
NY-PLAN,NYSEG,2020-2022,Revised Appendix CC Schedule A-1,PDF p. 1; Appendix CC Schedule A-1,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B9965AAA5-E262-49D8-A6C5-5E8B2D427756%7D,SC 1 Rate Years 1-3; use the rate in force at each year-end.
NY-2024,NYSEG,2023-2024,PSC120ServiceClassifications_Mar-2024.pdf,SC 1; tariff leaf 119,https://lstg.nyseg.com/documents/40132/5890332/PSC120ServiceClassifications_Mar-2024.pdf/172f842f-0559-083b-00c9-5f787b81e9d0,Energy Charge columns effective 2023-11-01 and 2024-05-01; excludes the separately stated $0.00276/kWh Make-Whole Energy Charge.
NS-2020,NSTAR Electric,2020,NSTAR FERC FORM-1.pdf,PDF p. 459; M.D.P.U. 1-20-E,https://www.mass.gov/doc/nstar-electric-ar-2020/download,R-1 Residential; Base Distribution column.
NS-2021,NSTAR Electric,2021,NStar Electric 2021 annual return,PDF p. 367; M.D.P.U. 1-21-A,https://www.mass.gov/doc/nstar-2021-ar/download,R-1 Residential; Base Distribution column.
NS-2022,NSTAR Electric,2022,NStar Electric Massachusetts Supplement 2022.pdf,PDF p. 88; M.D.P.U. 1-22-F,https://www.mass.gov/files/documents/2023/04/25/NStar%20Electric%20Massachusetts%20Supplement%202022.pdf,R-1 Residential; Base Distribution column.
NS-2023,NSTAR Electric,2023,D.P.U. 22-22 second revised compliance tariff,PDF p. 2; M.D.P.U. 1-23-Illustrative,https://eeaonline.eea.state.ma.us/dpu/fileroom/#/dockets/docket/10225,Approved compliance tariff; R-1; effective 2023-01-01.
NS-2024,NSTAR Electric,2024,NSTAR Electric AR 2024.pdf,PDF p. 63; M.D.P.U. 1-24-A,https://www.mass.gov/doc/nstar-electric-ar-2024/download,R-1 Residential; Base Distribution column; effective 2024-01-01.
UI-2020,United Illuminating,2020,UI 2020 rate schedule,PDF p. 1; Residential Rate R,https://www.uinet.com/documents/1678076/1704192/UI%2B2020%2Brate%2Bschedule.pdf/6f6e4e17-79b8-7193-25f7-198e87e63e95,Basic Service fixed charge and Distribution per-kWh charge only.
UI-2021,United Illuminating,2021,UI 2022 rate schedule,PDF p. 1; Residential Rate R,https://www.uinet.com/documents/1678076/1704192/FINAL_UPRB201_UI%2B2022%2Brate%2Bschedule_12.14.21.pdf/4d931e9b-c7d1-04b8-985a-1a6d75811cda,Year-end 2021 base components are shown in the January 2022 schedule's old-rate column.
UI-2022,United Illuminating,2022,UI 2022 rate schedule,PDF p. 1; Residential Rate R,https://www.uinet.com/documents/1678076/1704192/FINAL_UPRB201_UI%2B2022%2Brate%2Bschedule_12.14.21.pdf/4d931e9b-c7d1-04b8-985a-1a6d75811cda,Basic Service fixed charge and Distribution per-kWh charge in the new-rate column.
UI-2023,United Illuminating,2023,UI 2024 rate schedule,PDF p. 1; Residential Rate R,https://www.uinet.com/documents/1678076/1704192/FINAL_Design_UI%2B2024%2Brate%2Bschedule_12.8.23.pdf/778307f5-7177-5cc8-6ca7-2715e32ac6d6?t=1706547238937,September 2023 old-rate column; selected base components are unchanged in January 2024.
UI-2024,United Illuminating,2024,UI 2024 rate schedule,PDF p. 1; Residential Rate R,https://www.uinet.com/documents/1678076/1704192/FINAL_Design_UI%2B2024%2Brate%2Bschedule_12.8.23.pdf/778307f5-7177-5cc8-6ca7-2715e32ac6d6?t=1706547238937,January 2024 new-rate column; selected base components are unchanged from September 2023.
