source_id,issuer,source_title,source_date_or_retrieved_date,source_url,source_location,variables_supported,quality_and_use_note
S01,Connecticut Office of the Attorney General,Post-hearing brief citing then-current authorized ROEs,2013-07-18,https://portal.ct.gov/-/media/ag/press_releases/2013/20130718agaquarionbriefpdf.pdf?hash=B1B061A8844E85A94AFD8C7ACD66E3D1&rev=1f870b7d8f724e82bc16769894cdfad1,p. 4,CL&P 9.40%; UI 8.75% before its 2013 decision,Official state filing; used only for the stated carried-in ROEs
S02,Connecticut Office of Consumer Counsel,CL&P final rate decision press release,2014-12-17,https://portal.ct.gov/occ/-/media/occ/121714pressreleaseonclpfinaldecision1pdf.pdf?hash=F7B808F81767627F1C5DF35E15F23070&rev=800013e1dc584a4896605fd6e0d51c32,pp. 1-2,CL&P 9.17% base ROE; approximately $134 million approved increase; one-year penalty described,Official state consumer advocate summary of PURA decision
S03,The Connecticut Light and Power Company / SEC,2016 Form 10-K,2017-02-28,https://www.sec.gov/Archives/edgar/data/13372/000007274117000007/a201610kdocument.htm,Distribution rate case discussion,2014 decision effective 2014-12-01; 2015 one-year ROE reduction ended for 2016,Company filing with the U.S. Securities and Exchange Commission
S04,Eversource Energy / SEC,"Quarterly report for the quarter ended March 31, 2018",2018-05-03,https://www.sec.gov/Archives/edgar/data/72741/000007274118000042/a2018q110-qxdocument.htm,Connecticut rate case discussion,Settlement approved 2018-04-18; 9.25% ROE; 53% equity; $64.3m/$31.1m/$29.2m rate steps,Company filing with the U.S. Securities and Exchange Commission
S05,Connecticut Public Utilities Regulatory Authority,Current electric rate-case information,2026-08-09,https://portal.ct.gov/pura/industries/rates,Electric distribution company table,Most recent completed cases listed as CL&P 17-10-46 and UI 22-08-08,Official regulator webpage; used to check for a later completed case
S06,Connecticut Public Utilities Regulatory Authority,Final decision in Docket 20-08-03 (Tropical Storm Isaias),2021-04-27,https://portal.ct.gov/pura/press-releases/2021/pura-issues-final-decision-in-docket-number-20-08-03,Press release summary,Future-proceeding ROE adjustments of 90 bp for Eversource and 15 bp for UI,Official regulator source; order did not itself replace the in-force annual ROE
S07,UIL Holdings / SEC,2014 Form 10-K,2015-02-27,https://www.sec.gov/Archives/edgar/data/1082510/000114036115009017/form10k.htm,UI distribution rate case discussion,August 2013 UI decision; ROE increased from 8.75% to 9.15%,Company filing with the U.S. Securities and Exchange Commission
S08,Connecticut Public Utilities Regulatory Authority,Final Decision database entry for Docket 16-06-04,2016-12-14,https://portal.ct.gov/pura/docket/final-decision-database,Search Docket 16-06-04; decision tables and conclusion,"UI 2017-2019 rate base, revenue requirements, and rate changes",Official PURA database; the former company-hosted direct PDF returned 404 on 2026-08-10
S09,Connecticut Office of Consumer Counsel,Brief in Docket 22-08-08,2023-04-27,https://portal.ct.gov/-/media/occ/4272023-occ-brief.pdf,pp. 7-8,"UI actual earned ROE, 2017-2021",Official state consumer advocate filing
S10,Connecticut Public Utilities Regulatory Authority,"Final Decision, Docket 22-08-08",2023-08-25,https://d2f1dfnoetc03v.cloudfront.net/Files/Misplaced-Files-Cleanup/220808-082523.pdf,Tables 1 and 80; ROE discussion,"UI 9.10% base ROE, 47 bp total adjustment, 8.63% effective ROE, 50% equity, $1,105.196m rate base, $384.865m revenue requirement",Controlling final decision used where proposed-final materials differed
